	S184	S185	S186	S187	S188	S189	S190	S191	S192	S193	S194	S195	S196	S197	S198	S199	S208	S209	S210	S211	S212	S213	S214	S215	S216	S217	S218
s__Streptococcus anginosus	0	2	2	2	2	2	2	0	0	3	0	2	2	5	1	2	0	1	0	0	1	0	0	0	1	1	3
s__Streptococcus australis	19	21	28	12	19	12	23	4	12	16	1	28	20	17	7	6	2	10	20	1	1	5	1	41	49	43	21
s__Streptococcus chosunense	149	146	110	52	147	18	132	41	58	66	2	331	174	329	120	60	4	101	235	5	14	43	7	50	72	56	35
s__Streptococcus constellatus	1	1	0	2	4	0	2	1	3	2	0	2	1	3	0	1	1	0	3	0	0	4	2	2	1	1	3
s__Streptococcus cristatus	13	10	5	19	34	17	31	6	11	5	0	9	18	28	13	7	0	5	27	2	1	39	3	25	40	50	26
s__Streptococcus gallolyticus	0	2	2	0	0	0	1	1	0	0	0	0	2	0	0	2	0	1	1	0	0	0	0	1	0	0	0
s__Streptococcus gordonii	10	10	12	10	14	11	151	12	8	3	0	11	35	12	10	7	0	5	10	0	0	22	0	10	14	11	9
s__Streptococcus gwangjuense	162	172	89	47	124	19	116	42	57	70	4	290	167	307	124	61	7	107	269	11	23	62	11	45	74	53	25
s__Streptococcus halitosis	21	19	14	10	20	8	21	2	10	5	0	23	31	44	16	10	1	15	37	0	5	29	3	20	28	33	20
s__Streptococcus ilei	5	9	9	4	10	4	10	4	14	4	0	11	7	11	5	2	0	3	10	0	1	7	0	9	16	12	9
s__Streptococcus infantarius	2	1	1	2	2	0	1	2	1	0	2	3	3	1	2	0	1	0	1	0	0	0	0	0	0	1	1
s__Streptococcus infantis	30	32	53	40	26	11	36	23	18	18	0	46	21	18	12	4	1	8	17	1	2	31	3	32	44	40	22
s__Streptococcus intermedius	1	1	1	13	2	1	3	2	0	0	0	2	2	0	0	1	0	2	1	0	0	2	0	2	0	3	0
s__Streptococcus koreensis	6	4	6	0	3	0	4	2	3	4	0	11	5	4	1	2	1	4	2	0	0	6	1	4	3	3	2
s__Streptococcus lactarius	42	46	64	5	3	1	9	100	263	164	14	295	14	4	3	1	0	6	14	0	3	7	1	1	3	1	6
s__Streptococcus lutetiensis	2	1	1	0	0	0	1	0	0	0	0	2	2	1	0	0	0	0	1	0	0	0	1	0	0	1	0
s__Streptococcus macedonicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Streptococcus milleri	0	0	0	0	0	0	0	0	1	0	0	2	1	1	1	0	0	0	1	0	1	1	0	1	0	2	0
s__Streptococcus mitis	662	654	392	261	674	82	506	145	199	248	5	1545	741	1619	581	310	11	308	794	25	72	198	25	160	241	221	148
s__Streptococcus oralis	80	83	61	62	103	23	62	32	23	37	2	174	122	184	79	51	1	40	121	3	25	201	12	122	177	169	97
s__Streptococcus parasanguinis	88	105	153	12	13	14	16	28	48	36	4	74	12	8	5	3	3	42	90	4	12	47	8	9	5	13	2
s__Streptococcus pasteurianus	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Streptococcus periodonticum	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0
s__Streptococcus peroris	117	131	137	8	8	3	7	102	200	115	10	242	7	7	1	1	0	4	4	0	1	3	0	5	5	7	2
s__Streptococcus pneumoniae	257	270	159	78	178	25	187	42	83	90	7	437	232	371	149	65	3	123	273	5	16	66	12	78	91	105	49
s__Streptococcus pseudopneumoniae	411	397	270	95	249	27	182	68	96	128	7	481	289	498	183	111	5	152	384	7	37	101	21	78	139	103	57
s__Streptococcus rubneri	5	9	8	3	3	0	7	5	7	4	0	8	7	6	2	2	0	3	6	0	1	6	0	7	11	6	3
s__Streptococcus salivarius	48	59	73	14	69	32	147	5	6	5	0	12	667	142	119	126	10	41	141	9	11	71	14	68	75	94	44
s__Streptococcus sanguinis	7	3	0	40	32	10	68	63	16	7	4	5	13	13	8	4	2	3	5	0	7	90	15	41	133	225	35
s__Streptococcus shenyangsis	162	181	109	63	118	21	169	42	64	64	3	268	221	312	126	80	10	113	323	12	27	100	10	119	162	138	73
s__Streptococcus sinensis	1	0	3	3	1	1	1	3	3	0	0	0	1	4	0	0	0	0	0	0	0	5	0	4	3	4	3
s__Streptococcus symci	196	163	128	57	142	27	114	39	43	59	1	253	178	349	124	72	2	116	308	9	19	61	10	46	57	71	27
s__Streptococcus thermophilus	32	31	19	14	4	11	10	1	0	1	0	2	73	14	9	10	5	7	46	1	4	55	2	9	10	8	17
s__Streptococcus timonensis	21	15	15	9	8	3	21	8	16	9	0	16	8	22	7	2	1	7	10	0	3	9	1	12	12	14	5
s__Streptococcus vaginalis	0	0	0	0	0	0	0	0	1	0	1	1	1	3	0	0	0	0	2	0	0	0	0	1	0	2	0
s__Streptococcus vestibularis	18	26	33	10	12	6	29	2	3	2	0	16	114	51	29	19	4	18	152	5	8	17	1	10	9	15	6
s__Streptococcus viridans	6	5	5	7	3	3	7	3	9	6	1	8	1	3	2	0	0	2	5	0	1	2	0	5	11	8	6
s__Streptococcus xiaochunlingii	8	8	19	5	0	5	11	1	6	6	0	11	2	3	1	2	0	3	8	0	2	3	1	15	11	23	8